Date.Hour,Datetime,month,year,hour,Date.Hour Windows format,Temp. ,SITE
18/04/2019 08:01:00 a.m.,18/04/2019,4,2019,08:01:00 a.m,43573.33403,15.85824972,Alero20m
18/04/2019 10:01:00 a.m.,18/04/2019,4,2019,10:01:00 a.m,43573.41736,15.85824972,Alero20m
18/04/2019 12:01:00 p.m.,18/04/2019,4,2019,12:01:00 p.m,43573.50069,15.85824972,Alero20m
18/04/2019 02:01:00 p.m.,18/04/2019,4,2019,02:01:00 p.m,43573.58403,15.85824972,Alero20m
18/04/2019 04:01:00 p.m.,18/04/2019,4,2019,04:01:00 p.m,43573.66736,15.85824972,Alero20m
18/04/2019 06:01:00 p.m.,18/04/2019,4,2019,06:01:00 p.m,43573.75069,15.85824972,Alero20m
18/04/2019 08:01:00 p.m.,18/04/2019,4,2019,08:01:00 p.m,43573.83403,15.98399334,Alero20m
18/04/2019 10:01:00 p.m.,18/04/2019,4,2019,10:01:00 p.m,43573.91736,15.98399334,Alero20m
19/04/2019 12:01:00 a.m.,19/04/2019,4,2019,12:01:00 a.m,43574.00069,15.98399334,Alero20m
19/04/2019 02:01:00 a.m.,19/04/2019,4,2019,02:01:00 a.m,43574.08403,15.85824972,Alero20m
19/04/2019 04:01:00 a.m.,19/04/2019,4,2019,04:01:00 a.m,43574.16736,15.85824972,Alero20m
19/04/2019 06:01:00 a.m.,19/04/2019,4,2019,06:01:00 a.m,43574.25069,15.85824972,Alero20m
19/04/2019 08:01:00 a.m.,19/04/2019,4,2019,08:01:00 a.m,43574.33403,15.85824972,Alero20m
19/04/2019 10:01:00 a.m.,19/04/2019,4,2019,10:01:00 a.m,43574.41736,15.85824972,Alero20m
19/04/2019 12:01:00 p.m.,19/04/2019,4,2019,12:01:00 p.m,43574.50069,15.85824972,Alero20m
19/04/2019 02:01:00 p.m.,19/04/2019,4,2019,02:01:00 p.m,43574.58403,15.85824972,Alero20m
19/04/2019 04:01:00 p.m.,19/04/2019,4,2019,04:01:00 p.m,43574.66736,15.85824972,Alero20m
19/04/2019 06:01:00 p.m.,19/04/2019,4,2019,06:01:00 p.m,43574.75069,15.85824972,Alero20m
19/04/2019 08:01:00 p.m.,19/04/2019,4,2019,08:01:00 p.m,43574.83403,15.85824972,Alero20m
19/04/2019 10:01:00 p.m.,19/04/2019,4,2019,10:01:00 p.m,43574.91736,15.85824972,Alero20m
20/04/2019 12:01:00 a.m.,20/04/2019,4,2019,12:01:00 a.m,43575.00069,15.85824972,Alero20m
20/04/2019 02:01:00 a.m.,20/04/2019,4,2019,02:01:00 a.m,43575.08403,15.85824972,Alero20m
20/04/2019 04:01:00 a.m.,20/04/2019,4,2019,04:01:00 a.m,43575.16736,15.85824972,Alero20m
20/04/2019 06:01:00 a.m.,20/04/2019,4,2019,06:01:00 a.m,43575.25069,15.85824972,Alero20m
20/04/2019 08:01:00 a.m.,20/04/2019,4,2019,08:01:00 a.m,43575.33403,15.85824972,Alero20m
20/04/2019 10:01:00 a.m.,20/04/2019,4,2019,10:01:00 a.m,43575.41736,15.85824972,Alero20m
20/04/2019 12:01:00 p.m.,20/04/2019,4,2019,12:01:00 p.m,43575.50069,15.85824972,Alero20m
20/04/2019 02:01:00 p.m.,20/04/2019,4,2019,02:01:00 p.m,43575.58403,15.85824972,Alero20m
20/04/2019 04:01:00 p.m.,20/04/2019,4,2019,04:01:00 p.m,43575.66736,15.85824972,Alero20m
